"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,19.9,24.3,15.1,0,29.3,3,0,0,17,0,0
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,20.2,24.1,16.9,0,31.6,1,0,0,19,0,0
1967,20,24.2,16.8,0,30,7,0,0,22,0,0
1973,20.4,23.9,16.9,NA,25.2,16,0,3,40,0,0
1974,19.8,24.1,16.8,NA,26.7,11,1,2,52,0,0
1975,19.8,23.7,16.7,5.08,27.2,7,0,0,62,0,0
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,21.2,25,17.8,9.15,30.7,4,0,1,5,0,0
1996,21.1,24.6,17.9,42.69,30.7,11,0,1,11,0,0
1997,21.5,25.2,17.9,12.97,21.8,9,0,1,16,0,0
1998,NA,NA,NA,NA,NA,10,0,2,8,0,0
1999,20.3,24,17.5,9.65,18.5,9,0,2,5,0,0
2000,20.4,24.1,17.3,17.77,17.3,2,0,1,12,0,0
2001,20.9,24.7,17.5,NA,21.5,3,0,4,8,0,0
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,20.9,24.8,17.9,37.86,30.2,9,0,3,20,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,20,23.6,17.1,36.07,27.7,6,0,1,7,0,0
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,19.7,23.3,17,27.94,27.3,9,0,2,17,0,0
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,20,23.5,17.4,30.99,29.5,7,0,1,9,0,0
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
